taxon_oid,Domain,Sequencing Status,Study Name,Genome Name / Sample Name,Sequencing Center,IMG Genome ID,GTDB-Tk Domain,GTDB-Tk Phylum,GTDB-Tk Class,GTDB-Tk Order,GTDB-Tk Family,GTDB-Tk Genus,GTDB-Tk Species,GOLD Analysis Project ID,Award DOI,Ecosystem,Ecosystem Category,Ecosystem Subtype,Ecosystem Type,Specific Ecosystem,Geographic Location,Latitude,Longitude,Genome Size  * assembled,Gene Count  * assembled,CheckM2 Completeness,CheckM2 Contamination,ITS AP ID,ITS SP ID,,ITS AP ID - 90 Complete,Taxon-oid (no AP ID) - 90% 
2716885052,Bacteria,Permanent Draft,"Animal gut microbial communities from fecal samples from Wisconsin, USA",Fibrobacter sp. UWB13,DOE Joint Genome Institute  (JGI),2716885052,Bacteria,Fibrobacterota,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,Fibrobacter sp900177805,Ga0136277,10.46936/10.25585/60000667,Host-associated,Mammals,Stomach,Digestive system,Rumen,,,,3804669,3177,100,1.57,1113400,1113448,,1000392,2711768450
2519899641,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Pseudoalteromonas piscicida ATCC 15057,DOE Joint Genome Institute  (JGI),2519899641,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales_A,Alteromonadaceae,Pseudoalteromonas,Pseudoalteromonas piscicida,Ga0001020,10.46936/10.25585/60000886,Environmental,Aquatic,Unclassified,Marine,Unclassified,,,,5279016,4776,100,0.09,1006803,1006802,,1000395,641522617
2998344455,Bacteria,Permanent Draft,Genome sequencing of plant associated microbes to promote plant fitness in Sorghum bicolor and Oryza sativa,Vogesella perlucida SLBN-145,DOE Joint Genome Institute  (JGI),2998344455,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Chromobacteriaceae,Vogesella,Vogesella urethralis,Ga0484270,10.46936/10.25585/60001083,Host-associated,Plants,Rhizosphere,Roots,Soil,USA: California,38.5376,-121.7644,4222996,4083,100,0.25,1290037,1290070,,1000398,2710723898
2931079999,Bacteria,Permanent Draft,Genome sequencing of novel secondary metabolite producing bacteria for plant Disease control,Bacillus velezensis FZB42_1,DOE Joint Genome Institute  (JGI),2931079999,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus velezensis,Ga0454245,10.46936/10.25585/60001209,Environmental,Terrestrial,Unclassified,Soil,Unclassified,"USA: River Falls, WI",44.8523,-92.6212,3959738,4044,100,0.24,1278206,1278303,,1000401,2711768305
2857429247,Bacteria,Permanent Draft,Standard draft genome sequeces of bacteria from Yellowstone Lake,Methylobacterium sp. YL-MPn6-2016,DOE Joint Genome Institute  (JGI),2857429247,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium,Methylobacterium fujisawaense,Ga0395893,10.46936/10.25585/60001260,Environmental,Aquatic,Lake,Freshwater,Unclassified,"USA: Yellowstone Lake, WY",44.4111,-110.3163,6858912,6636,100,0.21,1251716,1251857,,1000404,2716884137
2926493430,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase IV (KMG-IV): sequencing the most valuable type-strain genomes for metagenomic binning, comparative biology and taxonomic classification",Bacillus andreesenii DSM 23948,DOE Joint Genome Institute  (JGI),2926493430,Bacteria,Bacillota,Bacilli,Bacillales,DSM-18226,Robertmurraya,Robertmurraya sp002480735,Ga0480525,10.46936/10.25585/60001087,,,,,,,,,4336975,4528,100,1.36,1281977,1282193,,1000407,2608642210
2739367903,Bacteria,Permanent Draft,"Marine sediment microbial communities from Pacific Ocean, California, USA",Micromonospora sp. CNZ285,DOE Joint Genome Institute  (JGI),2739367903,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Micromonosporaceae,Micromonospora,Micromonospora aurantiaca,Ga0193637,10.46936/10.25585/60001115,Environmental,Aquatic,Oceanic,Marine,Sediment,"Pacific Ocean: Off the coast of San Diego, USA",,,7006229,6527,100,0.57,1141788,1141857,,1000410,2791354765
2710724218,Bacteria,Permanent Draft,Phycosphere-associated microbial communities from algal ponds,Alteromonas sp. I10,DOE Joint Genome Institute  (JGI),2710724218,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales_A,Alteromonadaceae,Alteromonas,Alteromonas macleodii,Ga0157237,10.46936/10.25585/60001054,,,,,,,,,4673900,4104,100,0.02,1105325,1105341,,1000413,2626542354
2734482072,Bacteria,Permanent Draft,Understanding mechanisms by which microbes promote plant health,Pseudomonas asplenii ES_PA-B6,DOE Joint Genome Institute  (JGI),2734482072,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,Unclassified,Ga0181147,10.46936/10.25585/60000775,Environmental,Terrestrial,Unclassified,Soil,Unclassified,,,,7673865,6870,100,1.56,1138492,1138513,,1000416,2503982003
2622736521,Bacteria,Permanent Draft,"Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera",Clostridium homopropionicum DSM 5847,DOE Joint Genome Institute  (JGI),2622736521,Bacteria,Bacillota_A,Clostridia,Clostridiales,Clostridiaceae,Clostridium_H,Clostridium_H homopropionicum,Ga0070594,10.46936/10.25585/60001024,Engineered,Wastewater,Unclassified,Sewage,Unclassified,,,,3644832,3612,100,1.02,1058995,1059110,,1000419,2630969011
2524614633,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Streptococcus hyovaginalis DSM 12219,DOE Joint Genome Institute  (JGI),2524614633,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus hyovaginalis,Ga0001377,10.46936/10.25585/60000886,Host-associated,Mammals,Unclassified,Unclassified,Unclassified,,,,2077809,2109,100,0.1,1008515,1008514,,1000422,2515154180
2867883562,Bacteria,Permanent Draft,Genome sequencing of novel secondary metabolite producing bacteria for plant Disease control,Pseudomonas fluorescens KOPRI 25853,DOE Joint Genome Institute  (JGI),2867883562,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,Pseudomonas_E salomonii,Ga0417199,10.46936/10.25585/60001209,Environmental,Terrestrial,Unclassified,Soil,Unclassified,"USA: Plymouth, MN",,,6423709,6024,100,0.31,1257434,1257762,,1000425,2708743123
2945483466,Bacteria,Permanent Draft,Large-scale genome sequencing for establishing a Natural Products Genomics Resource Center (NPGRC),Actinobacteria bacterium 001404,DOE Joint Genome Institute  (JGI),2945483466,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Unclassified,Ga0526912,10.46936/10.25585/60001355,,,,,,,,,8865994,8275,100,1.32,1350820,1352065,,1000428,2791354777
2740891891,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase III (KMG-III): the genomes of soil and plant-associated and newly described type strains",Sphingomonas aurantiaca MA101b,DOE Joint Genome Institute  (JGI),2740891891,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas aurantiaca,Ga0191660,10.46936/10.25585/60001401,Environmental,Unclassified,Unclassified,Unclassified,Unclassified,Finland,,,4411230,4055,100,1.31,1145613,1145657,,1000431,2721755222
2574179751,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Parasphingorhabdus litoris DSM 22379,DOE Joint Genome Institute  (JGI),2574179751,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Parasphingorhabdus,Parasphingorhabdus litoris,Ga0006635,10.46936/10.25585/60000886,Environmental,Aquatic,Unclassified,Marine,Unclassified,"Coast of Jeju Island, Republic of Korea",33.51,126.52,3607795,3531,100,0.51,1030744,1030743,,1000434,2710723615
643348554,Bacteria,Finished,Geotalea daltonii FRC-32,Geotalea daltonii FRC-32,DOE Joint Genome Institute  (JGI),643348554,Bacteria,Desulfobacterota_F,Desulfuromonadia,Geobacterales,Geobacteraceae,Geotalea,Geotalea daltonii,Ga0028909,,Engineered,Bioremediation,Unclassified,Metal,Unclassified,Uranium-contaminated subsurface at US,,,4304501,3894,100,0.33,1378316,,,1000437,2515154116
641228482,Bacteria,Finished,4 Burkholderia,Burkholderia multivorans ATCC 17616,DOE Joint Genome Institute  (JGI),641228482,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia multivorans,Ga0028073,,Environmental,Terrestrial,Unclassified,Soil,Unclassified,"USA: Berkeley, California",37.87,-122.27,7008622,6373,100,0.55,1378602,,,1000443,2710723551
2513237145,Bacteria,Permanent Draft,GEBA - Root Nodulating Bacteria,Bradyrhizobium elkanii USDA 3254,DOE Joint Genome Institute  (JGI),2513237145,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Bradyrhizobium pachyrhizi,Ga0025197,10.46936/10.25585/60007492,Host-associated,Plants,Nodule,Roots,Unclassified,Arizona,34.05125493,-111.089437,8979722,8563,100,0.72,1378065,,,1000446,2786546226
2939253100,Bacteria,Permanent Draft,Large-scale genome sequencing for establishing a Natural Products Genomics Resource Center (NPGRC),Actinobacteria sp. 050802,DOE Joint Genome Institute  (JGI),2939253100,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Nocardia,Nocardia salmonicida,Ga0498578,10.46936/10.25585/60001355,,,,,,,,,7362524,6968,100,0.17,1316765,1317368,,1000449,2791354761
2510461076,Bacteria,Permanent Draft,"Analysis of the clover, pea/bean and lupin microsymbiont genetic pool by studying isolates from distinct Vavilov centres of diversity",Rhizobium leguminosarum bv. trifolii TA1,DOE Joint Genome Institute  (JGI),2510461076,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Rhizobium ruizarguesonis,Ga0025129,10.46936/10.25585/60007317,Host-associated,Plants,Nodule,Roots,Unclassified,Australia: Tasmania,-41.0335,147.667,8618824,8576,100,12.24,1377865,,,1000452,2710264644
2928496128,Bacteria,Permanent Draft,"Sorghum-associated microbial communities from plants grown in Nebraska, USA",Stenotrophomonas geniculata 1163,DOE Joint Genome Institute  (JGI),2928496128,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas indicatrix,Ga0438570,10.46936/10.25585/60001066,Host-associated,Plants,Unclassified,Roots,Unclassified,"USA: Wann, Nebraska",41.1591,-96.4086,4631123,4286,100,0.28,1272551,1272628,,1000455,2785511060
2667528184,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase III (KMG-III): the genomes of soil and plant-associated and newly described type strains",Microbulbifer yueqingensis CGMCC 1.10658,DOE Joint Genome Institute  (JGI),2667528184,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Cellvibrionaceae,Microbulbifer,Microbulbifer yueqingensis,Ga0079827,10.46936/10.25585/60001401,,,,,,,,,3664854,3261,100,0.21,1076137,1076319,,1000458,2630968269
2934701332,Bacteria,Permanent Draft,Large-scale genome sequencing for establishing a Natural Products Genomics Resource Center (NPGRC),Actinobacteria sp. 048426,DOE Joint Genome Institute  (JGI),2934701332,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces goshikiensis,Ga0498696,10.46936/10.25585/60001355,,,,,,,,,8880425,8158,100,0.27,1317001,1317486,,1000461,2713897397
2556921656,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Clostridium cellobioparum ATCC 15832,DOE Joint Genome Institute  (JGI),2556921656,Bacteria,Bacillota_A,Clostridia,Acetivibrionales,DSM-27016,Ruminiclostridium,Ruminiclostridium cellobioparum,Ga0005296,10.46936/10.25585/60000886,Host-associated,Mammals,Stomach,Digestive system,Rumen,,,,6132222,5220,100,3.37,1024792,1024791,,1000464,2785511069
650716039,Bacteria,Finished,Novel Microbial Enzymes,Parageobacillus thermoglucosidasius C56-YS93,DOE Joint Genome Institute  (JGI),650716039,Bacteria,Bacillota,Bacilli,Bacillales,Anoxybacillaceae,Parageobacillus,Parageobacillus thermoglucosidasius,Ga0028905,,Environmental,Aquatic,Unclassified,Thermal springs,Unclassified,"Obsidian Hot Spring, Yellowstone National Park, Montana, USA",44.603028,-110.865194,3993793,4135,100,0.44,1377646,,,1000470,2708743024
2558860994,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Alkanindiges illinoisensis DSM 15370,DOE Joint Genome Institute  (JGI),2558860994,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Alkanindiges,Alkanindiges illinoisensis,Ga0002119,10.46936/10.25585/60000886,Environmental,Terrestrial,Unclassified,Soil,Oil-contaminated,Oilfield in southern Illinois,,,3305253,3119,100,0.02,1011014,1011013,,1000473,2893903249
2770939463,Bacteria,Permanent Draft,"Subsurface microbial communities from deep shales in Ohio and West Virginia, USA",Garciella nitratireducens GHB3,DOE Joint Genome Institute  (JGI),2770939463,Bacteria,Bacillota_A,Clostridia,Eubacteriales,Garciellaceae,Garciella,Garciella nitratireducens,Ga0255681,10.46936/10.25585/60001053,Environmental,Terrestrial,Unclassified,Deep subsurface,Unclassified,USA: Texas,28.885,-97.9,2263229,2259,100,0.83,1182297,1182304,,1000476,2710264608
2524614552,Bacteria,Permanent Draft,Plant associated metagenomes--Microbial community diversity and host control of community assembly across model and emerging plant ecological genomics systems.,Streptomyces sp. 142MFCol3.1,DOE Joint Genome Institute  (JGI),2524614552,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp002300165,Ga0000387,10.46936/10.25585/60000944,,,,,,,,,9726042,8727,100,1.96,1003083,1003082,,1000479,2711768516
2808606402,Bacteria,Permanent Draft,Genome mining of underrepresented organisms for secondary metabolites,Streptomyces sp. T12,DOE Joint Genome Institute  (JGI),2808606402,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp000527195,Ga0311319,10.46936/10.25585/60001105,,,,,,,,,7803850,7122,100,0.13,1225051,1176533,,1000485,2626541881
2828075273,Bacteria,Permanent Draft,Studying the diversity of plant-associated saprophytic bacteria and their role in host health and plant-pathogen interactions,Xanthomonas cannabis CFBP 8593,DOE Joint Genome Institute  (JGI),2828075273,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas cannabis,Ga0372508,10.46936/10.25585/60001156,Host-associated,Plants,Unclassified,Unclassified,Unclassified,,,,4839134,4203,100,0.06,1235872,1236025,,1000491,2708742994
2959030392,Bacteria,Permanent Draft,Large-scale genome sequencing for establishing a Natural Products Genomics Resource Center (NPGRC),Actinobacteria bacterium 86181,DOE Joint Genome Institute  (JGI),2959030392,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces lydicus,Ga0535015,10.46936/10.25585/60001355,,,,,,,,,8469228,7686,100,0.05,1360129,1360972,,1000494,2708742960
2617270871,Bacteria,Permanent Draft,Sequencing the genomes of 1000 actinobacteria strains,Micromonospora auratinigra DSM 44815,DOE Joint Genome Institute  (JGI),2617270871,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Micromonosporaceae,Micromonospora,Micromonospora auratinigra,Ga0070611,10.46936/10.25585/60001044,Environmental,Terrestrial,Unclassified,Soil,Unclassified,,,,6758500,6242,100,0.09,1059235,1059270,,1000497,2721755123
2619618823,Bacteria,Permanent Draft,"Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera",Trichococcus pasteurii DSM 2381,DOE Joint Genome Institute  (JGI),2619618823,Bacteria,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Trichococcus,Trichococcus pasteurii,Ga0070501,10.46936/10.25585/60001024,Engineered,Wastewater,Unclassified,Sewage,Unclassified,,,,3197326,3053,100,2.12,1055251,1055250,,1000503,2708742673
2517287019,Bacteria,Permanent Draft,Genome sequencing of the marine actinomycete Salinispora spp.,Salinispora pacifica DSM 45544,DOE Joint Genome Institute  (JGI),2517287019,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Micromonosporaceae,Micromonospora,Micromonospora pacifica,Ga0026583,10.46936/10.25585/60007342,Environmental,Aquatic,Unclassified,Unclassified,Unclassified,,,,5464752,5064,100,0.56,1377922,,,1000506,2630969009
2706795032,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase III (KMG-III): the genomes of soil and plant-associated and newly described type strains",Novosphingobium mathurense SM117,DOE Joint Genome Institute  (JGI),2706795032,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Novosphingobium mathurense,Ga0138998,10.46936/10.25585/60001401,,,,,,,,,4843551,4572,100,0.03,1118301,1118371,,1000509,2713897422
2521172646,Bacteria,Permanent Draft,Plant associated metagenomes--Microbial community diversity and host control of community assembly across model and emerging plant ecological genomics systems.,Pseudomonas sp. LAMO17WK12:I9,DOE Joint Genome Institute  (JGI),2521172646,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,Pseudomonas_E chlororaphis,Ga0001092,10.46936/10.25585/60000944,,,,,,,,,7022592,6437,100,0.07,1007084,1007083,,1000515,2708742963
2956013887,Bacteria,Permanent Draft,Novel secondary metabolite-producing bacteria for plant disease control,Pseudomonas frederiksbergensis 94G2 TE3679,DOE Joint Genome Institute  (JGI),2956013887,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,Pseudomonas_E sp000282495,Ga0532257,10.46936/10.25585/60001358,Environmental,Terrestrial,Unclassified,Soil,Unclassified,,,,6405982,5976,100,0.07,1355584,1355768,,1000518,2626542211
2947847472,Bacteria,Permanent Draft,Large-scale genome sequencing for establishing a Natural Products Genomics Resource Center (NPGRC),Actinobacteria bacterium 88544,DOE Joint Genome Institute  (JGI),2947847472,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces parvulus,Ga0528268,10.46936/10.25585/60001355,,,,,,,,,8014841,7377,100,0.34,1351648,1352479,,1000527,2721755103
643348507,Bacteria,Finished,Multiple Anaeromyxobacter,Anaeromyxobacter dehalogenans 2CP-1,DOE Joint Genome Institute  (JGI),643348507,Bacteria,Myxococcota,Myxococcia,Myxococcales,Anaeromyxobacteraceae,Anaeromyxobacter,Anaeromyxobacter dehalogenans,Ga0027433,,Environmental,Aquatic,Lotic,Freshwater,Unclassified,"Lansing, Michigan",42.733621,-84.546582,5029329,4540,100,0.21,1378585,,,1000530,2710723892
2940377351,Bacteria,Permanent Draft,Genome Encyclopedia of Bacteria and Archaea VI: Functional Genomics of Type Strains,Ereboglobus sp. PH5-5,DOE Joint Genome Institute  (JGI),2940377351,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,Ereboglobus,Unclassified,Ga0505233,10.46936/10.25585/60001193,Host-associated,Arthropoda: Insects,Gut,Digestive system,Unclassified,,,,3508102,2712,100,0.19,1335572,1335665,,1000533,2626542253
2667527208,Bacteria,Permanent Draft,Genome sequencing of Caldicellulosiruptor bescii uracil auxotroph strains for use in genetic manipulations,Caldicellulosiruptor bescii MACB1018,DOE Joint Genome Institute  (JGI),2667527208,Bacteria,Bacillota_A,Thermoanaerobacteria,Caldicellulosiruptorales,Caldicellulosiruptoraceae,Caldicellulosiruptor,Caldicellulosiruptor bescii,Ga0100408,10.46936/10.25585/60000555,,,,,,,,,2953075,2906,100,0.01,1090889,1090899,,1000536,2710264583
2663762773,Bacteria,Permanent Draft,Genome sequencing of a diverse group of Pseudomonas species,Pseudomonas congelans LMG 21466,DOE Joint Genome Institute  (JGI),2663762773,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,Pseudomonas_E congelans,Ga0104654,10.46936/10.25585/60000812,Host-associated,Plants,Unclassified,Phyllosphere,Unclassified,Germany,,,5737059,5099,100,0.17,1090598,1090706,,1000539,2710723603
2825022033,Bacteria,Permanent Draft,Understanding the reciprocal impacts of modified plant cell wall and associated microbiome,Sphingomonas sp. BK345,DOE Joint Genome Institute  (JGI),2825022033,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas sp014193845,Ga0365278,10.46936/10.25585/60001140,,,,,,,,,4518915,4229,100,1.05,1225246,1225387,,1000545,2710264664
2585428052,Bacteria,Draft,"Saline, thermophilic phototrophic and chemotrophic mat microbial communities from various locations in USA and Mexico",Porphyrobacter sp.,DOE Joint Genome Institute  (JGI),2585428052,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Erythrobacter,Erythrobacter sp900105095,Ga0048143,10.46936/10.25585/60000772,,,,,,,,,3036783,2929,100,0.2,,,,1001028,2708742957
2540341236,Bacteria,Permanent Draft,Plant associated metagenomes--Microbial community diversity and host control of community assembly across model and emerging plant ecological genomics systems.,Pseudomonas sp. URMO17WK12:I8,DOE Joint Genome Institute  (JGI),2540341236,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,Pseudomonas_E putida_J,Ga0001067,10.46936/10.25585/60000944,,,,,,,,,5752811,5360,100,0.16,1007009,1007008,,1001031,2708742869
640069309,Bacteria,Finished,Clostridium thermocellum ATCC 27405,Acetivibrio thermocellus ATCC 27405,DOE Joint Genome Institute  (JGI),640069309,Bacteria,Bacillota_A,Clostridia,Acetivibrionales,Acetivibrionaceae,Hungateiclostridium,Hungateiclostridium thermocellum,Ga0028394,,,,,,,,,,3843301,3335,100,1.04,1378380,,,1001034,2785511354
2579779161,Bacteria,Permanent Draft,Whole Genome Sequencing of Novel Marine Hydrocarbon-Degrading Bacteria,Halomonas sp. TG39a,DOE Joint Genome Institute  (JGI),2579779161,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Halomonas,Halomonas ventosae_B,Ga0004744,10.46936/10.25585/60007561,Environmental,Aquatic,Coastal,Marine,Unclassified,,,,4979193,4614,100,0.01,1022325,1022324,,1001040,2710723992
2518645611,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Halomonas lutea DSM 23508,DOE Joint Genome Institute  (JGI),2518645611,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Modicisalibacter,Modicisalibacter luteus,Ga0000840,10.46936/10.25585/60000886,Environmental,Aquatic,Saline,Non-marine Saline and Alkaline,Unclassified,"Ebinur Lake, Xinjiang province, north-west China",45.05,82.977,4533090,4368,100,1,1005108,1005107,,1001043,2710723845
2675903066,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase III (KMG-III): the genomes of soil and plant-associated and newly described type strains",Nonomuraea maritima CGMCC 4.5681,DOE Joint Genome Institute  (JGI),2675903066,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nonomuraea,Nonomuraea maritima,Ga0104438,10.46936/10.25585/60001401,,,,,,,,,8267594,7999,100,0.17,1085021,1085106,,1001052,2710264687
2599185291,Bacteria,Permanent Draft,Comparative genomics of bacterial root endophytes of switchgrass collected from native prairies over two seasons,Pseudomonas sp. NFACC48-1,DOE Joint Genome Institute  (JGI),2599185291,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,Pseudomonas_E fluorescens_Q,Ga0058973,10.46936/10.25585/60000672,Host-associated,Plants,Rhizoplane,Roots,Endophytes,,36.811,-97.4538,6775623,6141,100,0.27,1049581,1049580,,1001055,639633059
2703719191,Bacteria,Permanent Draft,Genomic insights into Acetone-Butanol-Ethanol (ABE) fermentation by sequencing solventogenic Clostridia strains,Clostridium beijerinckii DJ056,DOE Joint Genome Institute  (JGI),2703719191,Bacteria,Bacillota_A,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium beijerinckii,Ga0136788,10.46936/10.25585/60000855,,,,,,,,,6146129,5532,100,0.21,1116951,1116976,,1001058,2820280018
2946882147,Bacteria,Permanent Draft,Large-scale genome sequencing for establishing a Natural Products Genomics Resource Center (NPGRC),Actinobacteria sp. 4318,DOE Joint Genome Institute  (JGI),2946882147,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces fimicarius,Ga0507394,10.46936/10.25585/60001355,,,,,,,,,8221072,7368,100,0.01,1339275,1340079,,1001061,2626542051
2959087715,Bacteria,Permanent Draft,Large-scale genome sequencing for establishing a Natural Products Genomics Resource Center (NPGRC),Actinobacteria bacterium 86849,DOE Joint Genome Institute  (JGI),2959087715,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces griseoviridis_A,Ga0535033,10.46936/10.25585/60001355,,,,,,,,,9010196,7929,100,0.43,1360165,1360990,,1001064,2713897362
2926612960,Bacteria,Permanent Draft,Sequencing the genomes of 1000 actinobacteria strains,Streptomyces sp. DSM 40167,DOE Joint Genome Institute  (JGI),2926612960,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp003947455,Ga0480153,10.46936/10.25585/60001044,,,,,,,,,8177831,7562,100,0,1281717,1282069,,1001067,2788500151
2503538021,Bacteria,Finished,GEBA-PCC,Chroococcidiopsis thermalis PCC 7203,DOE Joint Genome Institute  (JGI),2503538021,Bacteria,Cyanobacteriota,Cyanobacteriia,Cyanobacteriales,Chroococcidiopsidaceae,Chroococcidiopsis,Chroococcidiopsis thermalis,Ga0025550,10.46936/10.25585/60001427,Environmental,Terrestrial,Unclassified,Soil,Unclassified,"Greifswald, Germany",54.10114,13.3885,6689401,6033,100,1.12,1377649,,,1001070,2820027804
2844826561,Bacteria,Permanent Draft,Sequencing the genomes of 1000 actinobacteria strains,Cryobacterium roopkundense DSM 21065,DOE Joint Genome Institute  (JGI),2844826561,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Microbacteriaceae,Cryobacterium,Cryobacterium roopkundense,Ga0104588,10.46936/10.25585/60001044,Environmental,Aquatic,Lentic,Freshwater,Unclassified,"India, Roopkund, Himalayan region",,,4531652,4334,100,0.4,1085974,1086306,,1001073,2788500155
2547132468,Bacteria,Permanent Draft,"Bioprospecting for lignincellulytic microbes and enzymes from natural, highly-evolved plant biomass-degrading systems",Stenotrophomonas sp. CC120222-04,DOE Joint Genome Institute  (JGI),2547132468,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas maltophilia_G,Ga0004976,10.46936/10.25585/60007468,,,,,,,,,4620825,4239,100,0.17,1023624,1023623,,1001079,2710723929
